ID_TIENDA;SKU;CANT_ESPERADA
S01;7703617003954;4
S01;7703617003961;6
S01;7703617003978;6
S01;7703617004197;3
S01;7703617011591;8
S01;7703617011607;6
S01;7703617011614;9
S01;7703617012604;3
S01;7703617018262;2
S01;7703617018279;3
S01;7703617018286;3
S01;7703617018293;2
S01;7703617018934;4
S01;7703617018941;6
S01;7703617018958;5
S01;7703617018965;4
S01;7703617018972;6
S01;7703617018989;6
S01;7703617019825;3
S01;7703617019832;3
S01;7703617019849;2
S01;7703617020241;4
S01;7703617020258;3
S01;7703617020265;4
S01;7703617031520;3
S01;7703617031537;2
S01;7703617031551;3
S01;7703617048795;6
S01;7703617048801;6
S01;7703617048818;4
S01;7704327117603;1
S01;7704327117610;2
S01;7704327117627;3
S01;7704327117634;2
S01;7704327117641;1
S01;7704327117658;3
S01;7704327131197;2
S01;7704327178369;1
S01;7704327229306;4
S01;7704327229313;3
S01;7704327229320;4
S01;7704327229337;5
S01;7704327229344;1
S01;7704327229351;3
S01;7704327230142;3
S01;7704327230166;3
S01;7704327230173;1
S01;7704327230180;1
S01;7704327230197;3
S01;7704327230203;2
S01;7704327230210;2
S01;7704327230227;2
S01;7704327230234;2
S01;7704327230258;2
S01;7704327269197;2
S01;7704327269258;1
S01;7704327269265;3
S01;7704327269272;4
S01;7704327347109;2
S01;7704327347833;2
S01;7704327347864;4
S01;7704327384951;4
S01;7704327385064;2
S01;7704327390600;1
S01;7704327391447;2
S01;7704327394974;2
S01;7704327394981;2
S01;7704327399818;4
S01;7704327399849;1
S01;7704327405410;1
S01;7704327405427;1
S01;7704327405434;2
S01;7704327405441;1
S01;7704327405458;3
S01;7704327405465;2
S01;7704327405472;2
S01;7704327405489;2
S01;7704327405496;3
S01;7704327405502;1
S01;7704327405519;3
S01;7704327405526;3
S01;7704327420864;2
S01;7704327420871;3
S01;7704327420888;3
S01;7704327420895;3
S01;7704327420901;3
S01;7704327420918;2
S01;7704327422882;2
S01;7704327426828;3
S01;7704327426835;3
S01;7704327426842;2
S01;7704327436131;5
S01;7704327436148;6
S01;7704327436155;4
S01;7704327436391;1
S01;7704327436681;3
S01;7704327436698;3
S01;7704327436704;2
S01;7704327436995;2
S01;7704327437169;2
S01;7704327440947;4
S01;7704327440961;2
S01;7704327441401;2
S01;7704327441418;3
S01;7704327441425;3
S01;7704327441449;2
S01;7704327441456;3
S01;7704327441463;3
S01;7704327441654;4
S01;7704327441661;6
S01;7704327441678;6
S01;7704327443825;1
S01;7704327453527;2
S01;7704327453534;3
S01;7704327453541;3
S01;7704327456436;9
S01;7704327456566;2
S01;7704327459802;1
S01;7704327462598;2
S01;7704327463366;2
S01;7704327463533;2
S01;7704327464677;4
S01;7704327464721;2
S01;7704327464905;4
S01;7704327468156;2
S01;7704327468163;3
S01;7704327468170;2
S01;7704327468255;5
S01;7704327468262;6
S01;7704327468279;4
S01;7704327468668;3
S01;7704327468675;2
S01;7704327468682;2
S01;7704327468699;1
S01;7704327468989;2
S01;7704327470746;2
S01;7704327470753;2
S01;7704327470760;2
S01;7704327470777;4
S01;7704327470920;2
S01;7704327470982;1
S01;7704327471415;2
S01;7704327471620;2
S01;7704327471750;3
S01;7704327471767;2
S01;7704327471798;3
S01;7704327472214;2
S01;7704327472221;1
S01;7704327472382;1
S01;7704327472399;2
S01;7704327472597;3
S01;7704327472603;3
S01;7704327472610;2
S01;7704327473747;4
S01;7704327473877;2
S01;7704327475758;1
S01;7704327476120;3
S01;7704327476137;3
S01;7704327476144;2
S01;7704327477172;2
S01;7704327477233;2
S01;7704327477240;1
S01;7704327477462;2
S01;7704327477882;2
S01;7704327477943;1
S01;7704327477950;4
S01;7704327479626;2
S01;7704327480042;2
S01;7704327482862;1
S01;7704327484408;5
S01;7704327484415;4
S01;7704327484422;4
S01;7704327485108;1
S01;7704327485818;5
S01;7704327485825;5
S01;7704327485832;3
S01;7704327485924;2
S01;7704327486785;2
S01;7704327487836;1
S01;7704327487904;3
S01;7704327487935;4
S01;7704327488086;3
S01;7704327488222;3
S01;7704327488239;3
S01;7704327488246;2
S01;7704327488253;3
S01;7704327488321;3
S01;7704327488338;3
S01;7704327488345;3
S01;7704327488352;3
S01;7704327488369;2
S01;7704327488376;3
S01;7704327488383;3
S01;7704327488390;3
S01;7704327488406;3
S01;7704327488413;3
S01;7704327488420;3
S01;7704327488437;3
S01;7704327488444;3
S01;7704327488451;3
S01;7704327488468;3
S01;7704327488475;3
S01;7704327488482;2
S01;7704327488499;3
S01;7704327488505;3
S01;7704327488512;3
S01;7704327488529;3
S01;7704327488536;3
S01;7704327489106;1
S01;7704327490249;2
S01;7704327490263;3
S01;7704327490270;5
S01;7704327490287;3
S01;7704327490294;4
S01;7704327490300;4
S01;7704327490317;2
S01;7704327490331;3
S01;7704327490348;3
S01;7704327490355;5
S01;7704327490362;2
S01;7704327490379;1
S01;7704327490386;2
S01;7704327490393;1
S01;7704327490409;2
S01;7704327490423;2
S01;7704327490430;1
S01;7704327490447;2
S01;7704327490454;2
S01;7704327490461;3
S01;7704327490720;3
S01;7704327490737;1
S01;7704327490744;2
S01;7704327490768;1
S01;7704327490775;2
S01;7704327490799;3
S01;7704327490805;1
S01;7704327490812;1
S01;7704327490829;2
S01;7704327490836;2
S01;7704327491147;3
S01;7704327491154;2
S01;7704327491178;2
S01;7704327491857;2
S01;7704327491864;2
S01;7704327491918;1
S01;7704327491949;3
S01;7704327491956;3
S01;7704327491963;3
S01;7704327492137;3
S01;7704327492144;3
S01;7704327492168;3
S01;7704327492175;2
S01;7704327492236;3
S01;7704327492243;3
